City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Avarua,75,CK,1545271200,78,-21.21,-159.78,82.4,5.82
Bethel,90,US,1545271680,77,60.79,-161.76,-2.21,2.62
Provideniya,0,RU,1545271200,63,64.42,-173.23,-5.81,4.47
Nefteyugansk,40,RU,1545271200,75,61.09,72.61,-18.41,8.95
Viedma,76,AR,1545272566,43,-40.81,-62.99,74.43,10.56
Sitka,0,US,1545272567,45,37.17,-99.65,47.39,14.47
Beitbridge,0,ZA,1545272569,68,-22.21,29.99,75.74,8.66
Gigmoto,92,PH,1545272570,100,13.78,124.39,79.88,20.85
Husavik,68,CA,1545272571,91,50.56,-96.99,21.96,18.05
Ishinomaki,40,JP,1545271200,43,38.42,141.3,50,18.34
Mataura,0,NZ,1545272574,58,-46.19,168.86,67.73,6.53
Filimonovo,92,RU,1545272576,86,54.21,39.6,12.51,5.3
Saint-Francois,90,FR,1545269400,81,46.42,3.91,42.8,4.7
Sisimiut,80,GL,1545272578,100,66.94,-53.67,15.98,3.29
Homa Bay,48,KE,1545272581,100,-0.53,34.45,67.68,3.18
Port-Gentil,44,GA,1545272583,97,-0.72,8.78,80.28,3.74
San Juan,40,PH,1545271200,58,14.6,121.03,84.2,4.7
Tuktoyaktuk,90,CA,1545267600,84,69.44,-133.03,8.6,5.82
Brae,92,GB,1545270600,93,60.4,-1.35,46.4,13.87
Bluff,0,AU,1545272589,43,-23.58,149.07,94.95,8.88
Batagay-Alyta,0,RU,1545272590,0,67.8,130.41,-55.67,0.72
Yerbogachen,64,RU,1545272451,86,61.28,108.01,11.16,5.19
Vestmannaeyjar,88,IS,1545272593,100,63.44,-20.27,39.74,13.47
East London,92,ZA,1545272594,100,-33.02,27.91,66.78,6.53
Kantunilkin,40,MX,1545270480,88,21.1,-87.49,78.8,10.29
Hithadhoo,0,MV,1545272597,100,-0.6,73.08,81.99,7.2
Ilulissat,88,GL,1545270600,86,69.22,-51.1,26.6,2.95
Alofi,75,NU,1545271200,70,-19.06,-169.92,84.2,6.93
Newcastle,44,ZA,1545272451,100,-27.76,29.92,55.44,1.95
Barkly West,0,ZA,1545271200,41,-28.54,24.52,62.6,6.93
Albany,40,US,1545270960,68,42.65,-73.75,32,2.62
Saint-Philippe,75,CA,1545271200,73,45.36,-73.48,26.6,3.36
Tiksi,12,RU,1545272607,0,71.64,128.87,-37.13,4.07
Kruisfontein,0,ZA,1545272609,90,-34,24.73,61.43,6.2
Faanui,68,PF,1545272610,100,-16.48,-151.75,82.17,6.31
Ribeira Grande,56,PT,1545272611,95,38.52,-28.7,64.8,20.51
Barrow,8,AR,1545272613,59,-38.31,-60.23,74.79,14.36
Vaini,0,IN,1545271200,93,15.34,74.49,62.6,6.98
Cidreira,56,BR,1545272617,90,-30.17,-50.22,73.62,15.14
Petropavlovsk-Kamchatskiy,56,RU,1545271200,56,53.05,158.65,15.8,6.71
Yulara,36,AU,1545271200,31,-25.24,130.99,87.8,10.29
Caravelas,0,BR,1545272621,100,-17.73,-39.27,79.83,18.5
Dunedin,24,NZ,1545272581,83,-45.87,170.5,54.9,9.89
Ushuaia,0,AR,1545271200,87,-54.81,-68.31,53.6,5.82
Tonder,80,DK,1545270600,100,54.93,8.87,42.8,4.7
Atuona,24,PF,1545272627,100,-9.8,-139.03,80.28,13.58
Rio Grande,80,BR,1545272440,100,-32.03,-52.1,70.2,14.7
Lata,0,IN,1545272630,71,30.78,78.62,25.16,1.28
Alto Paraguai,20,BR,1545272631,90,-14.51,-56.48,74.61,2.51
Cape Town,0,ZA,1545271200,88,-33.93,18.42,64.4,6.93
Puerto Ayora,44,EC,1545272634,100,-0.74,-90.35,74.97,10.89
Busselton,0,AU,1545272635,79,-33.64,115.35,73.31,10.22
Hermanus,0,ZA,1545272637,95,-34.42,19.24,55.26,2.73
Bambous Virieux,75,MU,1545271200,78,-20.34,57.76,78.8,23.04
Mar del Plata,0,AR,1545272626,99,-46.43,-67.52,51.12,2.62
Araouane,88,ML,1545272641,36,18.9,-3.53,55.08,5.3
Port Lincoln,36,AU,1545272643,85,-34.72,135.86,65.79,16.15
Goure,0,NE,1545272644,44,13.98,10.27,59.76,11.68
Neuquen,0,AR,1545271200,35,-38.95,-68.06,71.6,11.41
Hobart,75,AU,1545271200,87,-42.88,147.33,57.2,9.17
Kharp,8,RU,1545272648,72,66.82,65.8,8.91,12.68
Thompson,90,CA,1545271200,91,55.74,-97.86,3.2,9.17
Saskylakh,20,RU,1545272651,0,71.97,114.09,-41.67,5.3
Lebu,0,ET,1545267600,66,8.96,38.73,50,11.41
Daru,76,SL,1545272654,56,7.99,-10.85,79.83,5.19
Bubaque,12,GW,1545272656,100,11.28,-15.83,79.74,4.18
Rikitea,64,PF,1545272657,100,-23.12,-134.97,76.28,16.49
Qaanaaq,56,GL,1545272658,76,77.48,-69.36,-4.14,5.41
Aripuana,20,BR,1545272660,91,-9.17,-60.63,76.86,1.72
Naze,20,NG,1545272661,83,5.43,7.07,71.78,4.29
Punta Arenas,0,CL,1545271200,62,-53.16,-70.91,53.6,16.11
Mahebourg,75,MU,1545271200,78,-20.41,57.7,78.8,23.04
Pochutla,40,MX,1545270000,69,15.74,-96.47,80.6,11.41
Prince Rupert,90,CA,1545271200,93,54.32,-130.32,35.6,4.7
